t,vyaw_measured,vyaw_variance
16.7,0.00012681802708264852,6.4e-05
16.72,-0.01011771584746732,6.4e-05
16.740000000000002,-0.00214390979014145,6.4e-05
16.76,0.015603363199281605,6.4e-05
16.78,0.009228704562248823,6.4e-05
16.8,0.0074997413773802216,6.4e-05
16.82,-0.002022228450232916,6.4e-05
16.84,-0.006288679672357793,6.4e-05
16.86,-0.003113248604274246,6.4e-05
16.88,0.00565432138483188,6.4e-05
16.9,0.012945414237813348,6.4e-05
16.92,0.013218939337082564,6.4e-05
16.94,0.011044898899866665,6.4e-05
16.96,9.95450874564461e-05,6.4e-05
16.98,0.006196398659231904,6.4e-05
17.0,0.003429259759702033,6.4e-05
17.02,0.0043904818920419975,6.4e-05
17.04,0.022297023175678506,6.4e-05
17.06,-0.0080960018960289,6.4e-05
17.080000000000002,0.004122585472621914,6.4e-05
17.1,0.015693991257569255,6.4e-05
17.12,-0.005727131960268306,6.4e-05
17.14,0.0008500205978699965,6.4e-05
17.16,0.0017676920194588837,6.4e-05
17.18,0.004213682223568124,6.4e-05
17.2,-0.006767657276849737,6.4e-05
17.22,0.010762288482704316,6.4e-05
17.240000000000002,0.011330298260105152,6.4e-05
17.26,0.010067002600143583,6.4e-05
17.28,-0.0009629893943286514,6.4e-05
17.3,0.0066920863262983615,6.4e-05
17.32,-0.0011955219165526998,6.4e-05
17.34,0.0033392267138278985,6.4e-05
17.36,0.023227743417367025,6.4e-05
17.38,0.006765563020770048,6.4e-05
17.400000000000002,-0.0035002126078973878,6.4e-05
17.42,0.007442682725311311,6.4e-05
17.44,-0.004814367408506477,6.4e-05
17.46,-0.0035920831401200937,6.4e-05
17.48,-0.0023289850875903278,6.4e-05
17.5,0.002445524382434532,6.4e-05
17.52,0.013495751964713613,6.4e-05
17.54,0.010627185584134714,6.4e-05
17.56,0.010183962625978628,6.4e-05
17.580000000000002,-0.00279139652472434,6.4e-05
17.6,0.0016694851565148107,6.4e-05
17.62,0.008176008855065506,6.4e-05
17.64,0.0009734401168926968,6.4e-05
17.66,0.0037730684775912128,6.4e-05
17.68,0.009530869540239597,6.4e-05
17.7,0.003209818550389584,6.4e-05
17.72,0.007808476712816202,6.4e-05
17.740000000000002,0.01874182764815655,6.4e-05
17.76,0.00462512960810402,6.4e-05
17.78,0.01543470247775365,6.4e-05
